industry,p_2005-2014,p_2015-2021,n_total_2005-2014,n_total_2015-2021,delta
B2B,0.528,0.5081967213114754,250,427,-0.019803278688524606
Fintech,0.5666666666666667,0.504950495049505,30,101,-0.0617161716171617
Healthcare,0.4444444444444444,0.375,18,120,-0.06944444444444442
Consumer,0.38317757009345793,0.2907488986784141,214,227,-0.09242867141504385
