group,n_total,n_success,p,lo,hi
USA,1236,570,0.46116504854368934,0.4335377890790833,0.4890329563037072
Non-US,247,111,0.4493927125506073,0.3886051433429142,0.5117303111009606
Unknown,76,11,0.14473684210526316,0.08278516269157667,0.2408744898547051
