group,n_total,n_success,p,lo,hi
Canada,42,24,0.5714285714285714,0.42206239878104584,0.7088234882381392
USA,1236,570,0.46116504854368934,0.4335377890790833,0.4890329563037072
India,46,17,0.3695652173913043,0.24523754590839628,0.5139990357661028
